City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,22.5,57,84,7.32,MU,1691542864
1,mili,6.0815,171.735,28.16,79,96,6.51,MH,1691543283
2,amarkantak,22.6667,81.75,19.63,86,100,1.41,IN,1691543283
3,nagireddipalli,14.2667,79.1,27.16,67,100,2.01,IN,1691543283
4,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1691542603
5,rongelap,11.1635,166.8941,28.44,77,100,5.56,MH,1691542889
6,la passe,45.5549,-0.8967,15.55,63,0,3.02,FR,1691542915
7,grytviken,-54.2811,-36.5092,-2.83,82,23,4.34,GS,1691542581
8,arkhangel'sk,64.5401,40.5433,12.57,96,6,2.31,RU,1691542934
9,adamstown,-25.066,-130.1015,22.33,86,100,15.14,PN,1691542875
10,blackmans bay,-43.0167,147.3167,10.41,66,100,3.57,AU,1691542878
11,vadso,70.0744,29.7487,19.49,82,0,1.54,NO,1691542933
12,kenai,60.5544,-151.2583,19.05,68,75,3.6,US,1691542975
13,bredasdorp,-34.5322,20.0403,9.06,90,0,2.38,ZA,1691542907
14,nanlong,31.3533,106.0631,28.78,79,4,1.92,CN,1691543285
15,olonkinbyen,70.9221,-8.7187,4.62,93,100,9.58,SJ,1691542871
16,lihue,21.9789,-159.3672,27.98,72,6,7.66,US,1691542855
17,hawaiian paradise park,19.5933,-154.9731,27.72,83,96,5.88,US,1691542882
18,itaituba,-4.2761,-55.9836,27.27,57,7,0.13,BR,1691543285
19,puerto natales,-51.7236,-72.4875,1.54,98,99,1.68,CL,1691542884
20,selfoss,63.9331,-20.9971,10.02,80,12,2.51,IS,1691543286
21,longyearbyen,78.2186,15.6401,7.91,81,0,2.57,SJ,1691542880
22,st. john's,47.5649,-52.7093,13.71,89,100,3.6,CA,1691542812
23,timaru,-44.4,171.25,9.48,43,100,1.34,NZ,1691543286
24,albany,42.6001,-73.9662,20.65,82,100,3.13,US,1691542762
25,westport,41.1415,-73.3579,23.38,71,0,7.2,US,1691543275
26,nemuro,43.3236,145.575,18.91,100,100,6.53,JP,1691542944
27,kapa'a,22.0752,-159.319,35.99,75,75,9.26,US,1691543287
28,la ronge,55.1001,-105.2842,17.14,59,75,3.09,CA,1691542989
29,arauca,7.0847,-70.7591,25.28,87,7,0.63,CO,1691543287
30,sao joao da barra,-21.6403,-41.0511,22.05,87,14,6.45,BR,1691542961
31,okha,53.5739,142.9478,15.86,83,78,6.26,RU,1691543213
32,callao,-12.0667,-77.15,21.16,73,20,5.66,PE,1691543288
33,ebon,4.582,168.6964,27.25,75,99,1.57,MH,1691543288
34,thompson,55.7435,-97.8558,13.09,76,100,5.66,CA,1691542934
35,cedar city,37.6775,-113.0619,28.55,15,0,5.66,US,1691543046
36,khark,29.2614,50.3306,34.69,54,66,2.22,IR,1691543288
37,adrar,20.5022,-10.0711,34.4,20,80,6.98,MR,1691543288
38,iqaluit,63.7506,-68.5145,4.85,86,40,3.6,CA,1691542878
39,wabag,-5.4781,143.7021,21.37,53,20,1.42,PG,1691543289
40,port-aux-francais,-49.35,70.2167,1.57,71,60,7.92,TF,1691542875
41,fraserburgh,57.6874,-2.0184,11.73,74,4,11.43,GB,1691543289
42,bhinmal,25.0,72.25,26.37,82,100,6.62,IN,1691543289
43,atafu village,-8.5421,-172.5159,28.45,74,97,5.93,TK,1691542927
44,neubrandenburg,53.5667,13.2667,10.93,92,84,6.3,DE,1691543289
45,alice springs,-23.7,133.8833,20.75,30,0,3.6,AU,1691542945
46,waitangi,-43.9535,-176.5597,8.79,88,100,1.79,NZ,1691542783
47,dunedin,-45.8742,170.5036,5.45,81,100,6.26,NZ,1691542959
48,edinburgh of the seven seas,-37.0676,-12.3116,11.58,85,100,11.42,SH,1691542790
49,haskovo,41.9403,25.5694,15.12,63,1,1.99,BG,1691543290
50,tsetserleg,47.475,101.4542,18.35,58,100,1.71,MN,1691543290
51,mount isa,-20.7333,139.5,23.87,33,10,6.17,AU,1691542845
52,san patricio,28.017,-97.5169,32.97,66,0,7.26,US,1691542612
53,wailua homesteads,22.0669,-159.378,27.29,72,35,4.02,US,1691542800
54,solnechnyy,50.7214,136.6319,18.16,62,93,3.46,RU,1691543291
55,aleg,17.0481,-13.9209,29.85,46,1,6.47,MR,1691543291
