City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.35,78,7,8.58,TF,1691575893
1,jhargram,22.45,86.9833,32.9,57,57,3.7,IN,1691575893
2,yuzhno-kurilsk,44.0306,145.8556,20.04,99,100,5.54,RU,1691575893
3,coquimbo,-29.9533,-71.3436,12.85,94,100,3.09,CL,1691575397
4,ust-nera,64.5667,143.2,17.48,59,91,1.24,RU,1691575893
5,muynoq,43.7683,59.0214,35.6,22,0,4.55,UZ,1691575893
6,hammerfest,70.6634,23.6821,25.25,65,20,4.12,NO,1691575893
7,tangalle,6.024,80.7911,36.09,62,72,8.34,LK,1691575894
8,severo-yeniseyskiy,60.3725,93.0408,17.71,56,100,2.95,RU,1691575894
9,saint-francois,46.4154,3.9054,23.71,43,0,2.57,FR,1691575894
10,puerto natales,-51.7236,-72.4875,0.99,97,100,1.16,CL,1691575668
11,flin flon,54.7682,-101.865,7.96,94,9,2.08,CA,1691575894
12,udachny,66.4167,112.4,26.92,29,0,7.89,RU,1691575894
13,bilajer,40.5681,50.0378,35.9,36,0,6.17,AZ,1691575915
14,edinburgh of the seven seas,-37.0676,-12.3116,11.44,70,100,9.59,SH,1691575916
15,blackmans bay,-43.0167,147.3167,10.29,63,100,3.5,AU,1691575916
16,anadyr,64.75,177.4833,9.28,87,100,4.0,RU,1691575916
17,pantelho,16.9333,-92.55,15.58,90,58,1.3,MX,1691575916
18,qaqortoq,60.7167,-46.0333,7.77,71,29,0.91,GL,1691575916
19,oriximina,-1.7656,-55.8661,23.89,72,8,1.79,BR,1691575916
20,taguatinga,-12.3857,-46.5711,22.5,44,1,1.66,BR,1691575631
21,rio grande,-32.035,-52.0986,14.97,79,100,9.01,BR,1691575916
22,waitangi,-43.9535,-176.5597,8.79,81,91,4.92,NZ,1691575917
23,untsukul',42.7115,46.7866,32.61,35,0,1.46,RU,1691575917
24,caconda,-13.7333,15.0667,25.57,19,22,2.91,AO,1691575917
25,ushuaia,-54.8,-68.3,-0.71,95,63,2.83,AR,1691575917
26,keflavik,64.0049,-22.5624,14.95,71,0,3.6,IS,1691575917
27,kirensk,57.7853,108.1119,25.65,55,93,1.25,RU,1691575917
28,mandera,3.9366,41.867,32.88,32,45,8.5,KE,1691575917
29,carnarvon,-24.8667,113.6333,21.15,66,3,6.1,AU,1691575918
30,wailua homesteads,22.0669,-159.378,27.24,81,100,9.26,US,1691575918
31,poso,-1.3959,120.7524,26.22,86,68,0.97,ID,1691575918
32,el tigre,8.8875,-64.2454,23.31,92,44,2.4,VE,1691575918
